"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.861188785E1,-3.250128925E-1,9.821464419E-1,1.071143436E1
2.871188785E1,-9.831190854E-2,8.781408310E0,3.246313095E0
2.881188785E1,8.972271085E-1,1.236163712E1,3.593547106E0
2.891188785E1,5.509656668E-1,-3.449520826E0,4.132018089E0
2.901188785E1,-1.303717613E0,-5.180154800E0,1.165736771E1
2.911188785E1,-1.279401541E0,2.351554930E-1,7.110404968E0
2.921188785E1,-2.204311609E0,5.710694790E0,6.270563602E-1
2.931188785E1,-3.029039145E0,5.816413760E-1,1.289876175E1
2.941188785E1,-3.368716717E0,-1.317559183E-1,7.952341080E0
2.951188785E1,-4.659640312E0,1.076792240E0,2.990357876E0
2.961188785E1,-3.292176962E0,-2.070760012E0,1.407431507E1
2.971188785E1,-9.780313969E-1,-2.763507366E0,7.582362175E0
2.981188785E1,-3.601777256E-1,3.269881010E0,1.610549569E0
2.991188785E1,-9.906607628E0,9.604265213E0,9.109937549E-1
3.001188785E1,5.752069354E-1,6.416460514E0,2.893916368E0
3.011188785E1,-6.359598041E-1,1.044994235E0,1.100906277E1
3.021188785E1,3.126677871E-1,-2.616338730E0,1.428889465E1
3.031188785E1,1.717091560E0,1.030202579E1,2.044573545E0
3.041188785E1,-2.516305923E0,3.279158592E0,2.045508575E1
3.051188785E1,7.880664468E-1,1.787795305E0,5.150451660E0
3.061188785E1,1.177872419E0,1.920299411E0,5.844994545E0
3.071188785E1,-4.204367638E0,-1.168594837E0,6.846518993E0
3.081188785E1,-7.197793484E0,-3.175235271E0,1.870731926E1
3.091188785E1,-1.179069519E0,-3.158849955E0,1.750872231E1
3.101188785E1,1.575683951E0,5.442618847E0,4.171298027E0
3.111188785E1,2.452934504E0,-3.652803659E0,1.202353096E1
3.121188785E1,1.207126617E0,-6.515969634E-1,1.475090122E1
3.131188785E1,-4.709843695E-1,1.799242616E0,1.137560081E1
3.141188785E1,1.634042710E-1,4.893448830E0,1.842637539E0
3.151188785E1,-6.733692169E0,1.075033951E1,-6.435240269E0
3.161188785E1,-5.663783550E-1,2.222717047E0,8.926406860E0
3.171188785E1,-7.743596554E0,-1.411157489E0,1.220818424E1
3.181188785E1,2.843937635E0,3.524638891E0,-2.111461401E0
3.191188785E1,-2.001777172E0,5.669843674E0,1.239964581E1
3.201188785E1,1.046191335E0,-2.165929556E0,1.219314575E1
3.211188785E1,-1.646088481E0,3.476231337E0,8.251017570E0
3.221188785E1,-2.405424595E0,3.865887642E0,5.836165905E0
3.231188785E1,2.910451405E-2,-5.875520706E-1,9.457620621E0
3.241188785E1,-3.410989344E-1,3.188253641E0,1.221521664E1
3.251188785E1,-1.322048306E-1,2.570474863E0,1.590348434E1
3.261188785E1,-1.914762855E0,6.333711147E0,1.409735918E0
3.271188785E1,-1.959803700E0,-1.746944189E0,6.533627033E0
3.281188785E1,-2.437147617E0,-3.575889826E0,1.416252613E1
3.291188785E1,3.067570925E-1,-3.117774248E0,1.490674877E1
3.301188785E1,2.179696083E0,5.776759982E-1,8.201936722E0
3.311188785E1,1.272667885E0,4.021585464E0,-4.526687145E0
3.321188785E1,2.718915343E-1,-2.586560726E0,1.080667782E1
3.331188785E1,-5.645826817E0,-3.050138235E0,1.595428658E1
3.341188785E1,7.214028835E-1,-1.902395248E1,2.506893730E1
3.351188785E1,-9.479542077E-2,-3.339088440E0,1.229377651E1
3.361188785E1,2.384400368E0,1.477521777E0,1.023169613E1
3.371188785E1,-2.019958019E0,-1.039008737E0,1.256484509E1
3.381188785E1,1.226280183E-1,-5.855319500E-1,1.149643326E1
3.391188785E1,-1.508197427E0,-2.310479403E0,1.206947041E1
3.401188785E1,8.230816722E-1,6.155941486E0,8.795773506E0
3.411188785E1,-3.168576360E-1,6.828712225E-1,8.301071167E0
3.421188785E1,-1.546654344E0,2.692204952E0,8.410231590E0
3.431188785E1,-2.924143314E0,6.144120097E-1,1.157506752E1
3.441188785E1,-3.019387722E0,3.045274973E0,1.019406223E1
3.451188785E1,-1.319279909E0,1.672574401E0,1.017550659E1
3.461188785E1,-9.171288610E-1,-1.548674464E0,1.109832191E1
3.471188785E1,-3.008763313E0,-2.509048462E0,1.450085640E1
3.481188785E1,-2.520869970E0,-2.533439398E0,1.186162376E1
3.491188785E1,-2.651952505E0,1.266158581E0,1.227402496E1
3.501188785E1,-1.453953743E0,6.251111031E-1,6.008024693E0
3.511188785E1,-8.128314614E-1,2.832116127E0,7.814449787E0
3.521188785E1,1.510142684E0,1.146373749E0,3.841721058E0
3.531188785E1,2.480093718E0,-2.088267565E0,9.935712814E0
3.541188785E1,-2.432808161E0,7.668927312E-1,6.192452908E0
3.551188785E1,1.314341903E0,5.853448868E0,-7.015010715E-1
3.561188785E1,-5.194669366E-1,9.547851562E0,4.944550037E0
3.571188785E1,-3.824961662E0,-3.493215084E0,1.365892029E1
