"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.892946884E1,2.073910832E-1,3.561437428E-1,2.662626207E-1
1.902946884E1,-7.044601440E-2,1.236635685E0,-5.495788530E-2
1.912946884E1,-1.337475032E-1,1.592279822E-1,-1.652483702E0
1.922946884E1,-1.275689155E-2,-2.668288648E-1,-6.381443143E-1
1.932946884E1,-5.700631738E-1,1.617260724E-1,4.468242526E-1
1.942946884E1,-4.834628701E-1,-6.322655082E-1,4.916898906E-1
1.952946884E1,-5.455652475E-1,-1.275439262E0,1.399361014E0
1.962946884E1,-7.353531718E-1,-3.440363705E-1,6.047365665E-1
1.972946884E1,-7.777706385E-1,-1.571962088E-1,4.512542188E-1
1.982946884E1,-1.254105687E0,-6.170271710E-2,-6.575128436E-1
1.992946884E1,-2.241815329E0,1.311545014E0,-1.239183784E0
2.002946884E1,7.597178221E-1,2.317224294E-1,-1.110415816E0
2.012946884E1,-1.833828092E0,-9.173803329E-1,-8.875365257E-1
2.022946884E1,3.487660885E-1,-6.170271635E-1,6.490359902E-1
2.032946884E1,1.045765281E0,-9.383309484E-1,1.035956144E0
2.042946884E1,-9.902411699E-2,5.709791183E-1,1.422210217E0
2.052946884E1,4.687407911E-1,2.294408530E-1,9.710891843E-1
2.062946884E1,1.437781572E0,7.900945544E-1,-8.575761914E-1
2.072946884E1,1.337974668E0,3.572928607E-1,-5.616695881E-1
2.082946884E1,-2.763382494E-1,1.846418381E-1,2.099557817E-1
2.092946884E1,-1.799271226E0,-7.722082734E-1,1.497185975E-1
2.102946884E1,1.047347426E0,-2.148353681E-2,9.925560951E-1
2.112946884E1,1.153599381E0,1.003564298E-1,6.447892189E-1
2.122946884E1,9.562505484E-1,2.252440602E-1,1.401925683E-1
2.132946884E1,1.202145457E0,-2.541385964E-2,-2.580189407E-1
2.142946884E1,-1.030027390E0,-9.011428058E-2,-4.450922608E-1
2.152946884E1,-1.284382463E0,1.121807024E-1,1.786964014E-2
2.162946884E1,1.098225117E0,6.144458055E-1,6.881393492E-2
2.172946884E1,2.747394741E-1,-4.608635008E-1,-3.300803900E-2
2.182946884E1,6.262867451E-1,1.850415319E-1,1.853079945E-1
2.192946884E1,-4.059389234E-1,-1.260201037E-1,3.586751521E-1
2.202946884E1,-1.154715180E0,-1.577957422E-1,2.191820443E-1
2.212946884E1,-5.225329399E-1,-3.730141521E-1,-4.659762606E-2
2.222946884E1,2.547547817E-1,-1.383772939E-1,8.491826057E-2
2.232946884E1,-1.009826183E0,-5.499785542E-1,1.526996493E-1
2.242946884E1,-1.144939303E0,-5.290612578E-1,1.885555089E-1
2.252946884E1,1.871898890E0,5.076276660E-1,1.531642914E0
2.262946884E1,3.092163801E0,4.497053921E-1,6.043202281E-1
2.272946884E1,-1.207574606E-1,2.123872489E-1,6.033376455E-1
2.282946884E1,1.114812374E0,-3.080139756E-1,1.907371730E-1
2.292946884E1,-1.078906536E0,-7.399329543E-2,-6.446226835E-1
2.302946884E1,-7.196984887E-1,-1.293841898E-1,-6.687875390E-1
2.312946884E1,-8.876531571E-2,-2.807681859E-1,-3.793759644E-2
2.322946884E1,-8.074978590E-1,-1.440396160E-1,3.427540064E-1
2.332946884E1,1.017903328E0,1.837258786E-1,-1.987810135E-1
2.342946884E1,-3.844387293E0,-3.900011480E-1,-4.963529706E-1
2.352946884E1,-4.928556681E-1,8.866705298E-1,7.326053083E-2
2.362946884E1,-3.978051662E0,3.027180135E-1,-8.719984442E-2
2.372946884E1,-8.509978652E-1,4.614796937E-1,-1.786964014E-2
2.382946884E1,1.297705531E0,4.113847613E-1,-4.106353223E-1
2.392946884E1,-2.721747756E-1,2.557540238E-1,-2.439797074E-1
2.402946884E1,6.330981851E-1,6.644908339E-2,4.436600208E-2
2.412946884E1,-4.849117398E-1,-6.636580825E-2,-1.192752644E-1
2.422946884E1,-1.879726291E0,-2.598009072E-3,-5.034142137E-1
2.432946884E1,-5.129402503E-2,2.310562730E-1,9.854115546E-2
2.442946884E1,2.357693315E-1,-3.150918707E-2,1.974653453E-1
2.452946884E1,-6.453221440E-1,1.795124412E-1,2.109383643E-1
2.462946884E1,-3.650536016E-2,1.742164940E-1,-1.522166934E-2
2.472946884E1,4.612132311E-1,3.811079562E-1,-2.107551694E-1
2.482946884E1,2.973054945E-1,8.058824390E-2,-3.582588136E-1
2.492946884E1,-1.365620177E-3,-2.144023776E-1,-5.072279572E-1
2.502946884E1,4.268395901E-2,-1.350298673E-1,-2.108217776E-1
2.512946884E1,4.931554198E-1,-1.285015345E-1,3.736969829E-1
2.522946884E1,1.273857206E-1,-9.934054315E-2,2.280086130E-1
2.532946884E1,3.696001172E-1,-1.739833504E-1,-3.144590259E-1
2.542946884E1,4.313527942E-1,6.211906672E-3,1.491523683E-1
2.552946884E1,-8.886523843E-1,1.982813925E-1,1.121807024E-1
2.562946884E1,-4.827966988E-1,2.189988457E-2,-2.133365162E-2
2.572946884E1,6.440064907E-1,2.672119141E-1,-6.366787851E-2
2.582946884E1,5.760585666E-1,1.727176458E-1,-2.253273278E-1
2.592946884E1,-4.811146557E-1,-4.408288747E-2,-7.850650698E-2
2.602946884E1,-5.166041255E-1,-6.401760876E-2,-2.691937089E-1
2.612946884E1,9.641778469E-1,1.098991185E-1,-2.624821961E-1
2.622946884E1,-2.166672945E-1,-5.514108017E-2,-3.693003356E-1
2.632946884E1,2.157513350E-1,-2.781535089E-1,-3.255172372E-1
2.642946884E1,-6.665558815E-1,-6.443395466E-2,9.605972469E-2
2.652946884E1,2.852480710E-1,-8.215371519E-2,-1.531826109E-1
2.662946884E1,7.776707411E-1,1.504846811E-1,7.252775878E-2
2.672946884E1,-7.131201774E-2,1.739666909E-1,-2.293242700E-2
2.682946884E1,-2.835993469E-1,2.051094919E-1,-5.570731312E-2
2.692946884E1,4.934718609E-1,7.294410467E-2,-7.935585827E-2
2.702946884E1,-1.551477760E-1,-9.159647860E-3,-2.584685944E-2
2.712946884E1,5.841856599E-1,-1.708024442E-1,2.576358989E-2
2.722946884E1,-1.373480797E0,7.126206160E-2,-4.311696067E-2
2.732946884E1,-6.842756271E-1,-2.120375186E-1,-3.742299080E-1
2.742946884E1,1.979150027E-1,2.169504166E-1,2.404490709E-1
2.752946884E1,-1.337641627E-1,2.689105868E-1,7.972224057E-2
2.762946884E1,8.748295903E-2,2.782867476E-2,5.457484722E-2
2.772946884E1,-2.013457008E-2,-1.763148904E-1,-2.296406925E-1
