"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.319654332E2,5.233110842E1,4.868469339E0,6.946570635E-1,3.267430544E0,1.852968597E2,5.635153770E0,3.000000000E0
1.329707147E2,5.233107772E1,4.868459498E0,5.865774368E-1,3.343978882E0,1.866438141E2,4.588794231E0,3.000000000E0
1.339720875E2,5.233104432E1,4.868450738E0,7.492160090E-1,3.322201490E0,1.815483856E2,5.635451794E0,3.000000000E0
1.349674923E2,5.233101612E1,4.868447473E0,1.009736978E0,3.238991022E0,1.818433380E2,5.635594845E0,3.000000000E0
1.359692493E2,5.233098733E1,4.868444013E0,1.070690627E0,3.271284342E0,1.790776825E2,5.635748863E0,3.000000000E0
1.369688258E2,5.233095750E1,4.868444917E0,1.027867071E0,2.976016283E0,1.789311829E2,5.635897636E0,3.000000000E0
1.379729973E2,5.233092397E1,4.868448944E0,7.110185420E-1,2.926544666E0,1.789807281E2,4.589895725E0,3.000000000E0
1.389667802E2,5.233089802E1,4.868459601E0,9.220106069E-1,3.020124197E0,1.811464081E2,4.590116501E0,3.000000000E0
1.399702436E2,5.233086751E1,4.868466612E0,8.754816121E-1,3.084793091E0,1.812026062E2,4.590337276E0,3.000000000E0
1.409645263E2,5.233083906E1,4.868466018E0,6.977054601E-1,3.129579782E0,1.930364532E2,4.590558052E0,3.000000000E0
1.419645175E2,5.233080976E1,4.868455567E0,3.764338440E-1,3.166436195E0,1.944346313E2,4.590778828E0,3.000000000E0
1.429695875E2,5.233078012E1,4.868456886E0,5.426450217E-1,3.303138256E0,1.737589264E2,4.839110851E0,3.000000000E0
1.439693457E2,5.233075080E1,4.868482578E0,4.898901805E-1,4.544327736E0,1.540000000E2,5.133278370E0,3.000000000E0
1.449674614E2,5.233072280E1,4.868534322E0,9.613111187E-1,4.065711975E0,1.376224670E2,5.133330345E0,3.000000000E0
1.459626083E2,5.233069271E1,4.868583749E0,9.266856921E-1,3.948353052E0,1.653893127E2,5.133378983E0,3.000000000E0
1.469655247E2,5.233065798E1,4.868593199E0,8.972134742E-1,3.277381897E0,1.856029816E2,4.582315445E0,3.000000000E0
