"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.456755042E1,5.878453255E-1,-9.699639320E0,1.112550926E1
2.466755042E1,2.761950493E0,-8.440503120E0,7.629728317E0
2.476755042E1,-7.737649679E-1,1.194940329E0,2.003107071E0
2.486755042E1,1.393460393E0,-1.796283960E0,-5.901784897E-1
2.496755042E1,-1.575551271E0,-2.916828632E0,-2.690601349E-1
2.506755042E1,-1.771944642E0,-8.933267593E-1,1.987507820E0
2.516755042E1,-1.927597523E0,2.744918346E0,-3.060338974E0
2.526755042E1,2.309629440E0,-5.488404274E0,2.420068741E0
2.536755042E1,-3.711587191E-1,-1.655847788E0,1.210123062E0
2.546755042E1,2.963435650E-1,2.518833876E0,-4.497985840E0
2.556755042E1,1.294545650E0,-4.940267086E0,4.426490784E0
2.566755042E1,-5.471166372E-1,-4.936634064E0,6.218644142E0
2.576755042E1,-5.858210325E-1,-3.022205830E-1,-1.139210701E0
2.586755042E1,-1.768437624E-1,4.394435883E-2,2.619104385E-1
2.596755042E1,-6.326619387E-1,-3.270239353E0,1.860845566E0
2.606755042E1,3.132814169E-1,-4.171528816E-1,-3.872995377E-1
2.616755042E1,8.283110857E-1,3.754522085E0,-8.895085335E0
2.626755042E1,5.962371826E-3,-3.426260710E0,8.220100403E-2
2.636755042E1,1.249042988E0,-2.720689774E-1,1.726347923E0
2.646755042E1,-9.292274714E-1,-5.693542957E0,3.539441109E0
2.656755042E1,2.045938730E0,2.675466537E-1,-1.769081593E0
2.666755042E1,1.262648106E0,3.485676289E0,-5.258937836E0
2.676755042E1,-1.695415020E0,-1.582517862E0,7.135143280E-1
2.686755042E1,-5.095300674E-1,-1.400991797E0,-2.136716843E-1
2.696755042E1,4.009202123E-1,1.007543206E0,5.667333603E-1
2.706755042E1,-1.813611627E0,-2.956665754E-1,-1.738589764E0
2.716755042E1,-2.453380346E0,-4.251178265E0,7.350509644E0
2.726755042E1,5.591463447E-1,-3.978462219E0,2.930521965E0
2.736755042E1,1.765036941E0,-3.001887321E0,2.079615593E0
2.746755042E1,6.197540760E-1,-3.485055685E0,2.920067787E0
2.756755042E1,9.658708572E-1,-2.400547028E0,3.287292480E0
2.766755042E1,1.433998585E0,-2.723757267E0,1.708163261E0
2.776755042E1,7.478922009E-1,-1.244435430E0,9.762601852E-1
2.786755042E1,-9.995342493E-1,-1.329615116E0,1.727352142E-1
2.796755042E1,-1.571620107E0,-4.415913582E0,4.886855125E0
