,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),labelnormal,labelbrake,labelstop,labelturnright,labelturnleft,labelaccelerate,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7
5.0,-0.7512782868218209,0.466567178001266,9.474509704414196,-0.016741351287682647,0.03631746632464937,-0.059802733395456276,0.019283307341518563,-0.14859293898745185,-0.026728097683232005,52.35061625654641,4.925680071162172,1.2441499913117275,1.5358149874662388,216.30000281168276,3.9089697199713114,3.6357703234285252,1,0,0,0,0,0,-0.16064365506242628,0.7122565033266394,0.20734081877013627,-0.15071232885465957,0.09766130261158856,0.004003464536593598,0.16915067478986878
5.5,-0.24793040981352732,0.5407475552422841,8.959503652941656,-0.030063736345128468,-0.03596916142892072,0.13161595801109743,-0.19504818312190286,-0.48719453265739043,0.2268789977715809,52.350623920422606,4.925672820340499,2.1240280827487834,1.7891814677912707,217.50559994977397,3.829380818446726,3.456395298597616,1,0,0,0,0,0,-0.13078361144782882,0.5944178399088108,0.13918850513929396,-0.126771765289143,-0.06238643288957976,0.15987346392882415,0.1415141383268423
6.0,0.13263305722062835,0.2687231276268074,10.408923735633277,0.009836607614738126,0.05191070778775933,-0.1475272823004481,0.3444146758319796,0.041359455699941705,-0.2967713651901155,52.35062151734668,4.925663727961108,3.0716039234838703,2.086023824704337,218.87861391155374,3.8030768620779214,3.2175348852345045,1,0,0,0,0,0,-0.08873254916629826,0.3896991877824535,0.13384520603230549,-0.08305655330541206,0.13853073461254986,-0.10293642814898571,0.10457965915446968
6.5,0.2254661210764418,-0.6641802209517103,10.892265521482026,0.035298875023082814,0.026342414113147524,-0.15950203032095628,0.35154203526079997,-0.36735021766028314,0.21123601687806448,52.35061567399299,4.9256533858558385,3.5990232899080707,2.09940949410818,219.19843096911518,3.7943834625287756,3.0253244914860837,1,0,0,0,0,0,-0.05786499331541837,0.22316852902847328,0.1446594999665423,-0.21554397048864232,0.1230025547309257,-0.10732284417016177,0.04236863684749122
7.0,-0.516136414920594,0.1144815479714767,10.085976067238388,-0.02004407847687066,-0.010050837961952244,-0.044450571700712385,0.39157292099627433,-0.03546944471586472,-0.01926247996399147,52.350606143896066,4.925642309205119,4.012222594106069,2.029286760442534,219.37200575920593,3.791510313156825,2.848584442463884,1,0,0,0,0,0,-0.03469998197761877,0.1929117013577849,0.2207805001506747,-0.0527849829864922,0.047297947900568675,-0.0018854974161672923,0.09182549783240129
7.5,-0.7295955245950032,-0.4641606061091127,10.751323772891935,0.04826968635974287,-0.04838028644673588,0.018445413151691237,0.033233079286915324,-0.21488621739464742,-0.04959467689094135,52.350597864955965,4.925631305473979,3.899792022536127,2.0403708190864056,219.43916743641805,3.7905607436280273,2.7791430342107097,1,0,0,0,0,0,-0.015233153554262854,0.12701153800520537,0.22209348720052519,-0.16928941486736857,-0.048464145855495924,-0.00781767721528007,0.0708343552508847
8.0,-0.6743055722468374,-0.5811075938530454,11.13942206037904,-0.016761438851364482,-0.009566634373691436,0.02840669281738729,0.3056502277934661,-0.24636786311636708,0.054121200135452324,52.35059001358589,4.925620326056791,3.644468269259913,2.0753788215693323,219.49155305907314,3.790246912993663,2.7452844040667954,1,0,0,0,0,0,-0.01412481845018661,0.10377402525721181,0.22500666768346864,-0.17785411688687408,-0.016809359696493935,-0.05233612121828414,0.036968656448960566
8.5,-0.687306549273677,1.140399029465356,8.033787622331126,0.009823526835798665,0.06888708277934164,-0.014583129996796524,0.7488909720871771,-2.681217471591324,-0.8326759280178974,52.35057979726994,4.925608401218109,3.529665647017835,2.4454427154967324,221.26417578318205,3.790143192661367,2.6576989495126018,1,0,0,0,0,0,-0.029885943154853628,0.1502708819799001,0.19491065182059217,0.09019225546775148,0.2392705262173498,0.31020465468885605,-0.0778486040059864
9.0,0.6005738817377284,-0.556647782651805,10.795365862059052,-0.03432208849359926,-0.04534732794634096,-0.0994317723562256,-1.2435783958624622,-0.05443133004654399,-2.0512891972755045,52.35056877275796,4.925596161142639,3.453063927789763,2.914216513499447,223.27566302853685,3.790108913320367,2.5522964835197013,1,0,0,0,0,0,0.032270813226236233,0.017658706958671156,-0.006283978054158508,0.01181637288071689,-0.28875503888325543,-0.13979290974667047,0.017497337420524835
9.5,0.21704212607823503,-0.5009259486175023,11.244779247247452,0.025077529810092515,-0.032702850873956316,-0.07484779814718956,-0.3698078643513575,-2.1857477503818337,-1.543331851736366,52.35055747205327,4.9255819088988915,3.408934141759942,2.9182961966033143,224.58833993301977,3.7900975840737923,2.528305095486533,1,0,0,0,0,0,0.01536778028932863,-0.03427101188648624,0.027120762562596074,-0.16914286548786814,-0.07376765670351647,0.0370802577599106,-0.11296666894281987
