,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),labelnormal,labelbrake,labelstop,labelturnright,labelturnleft,labelaccelerate
32.0,-1.5424732,-2.0123040000000003,12.1645122,0.15811779999999998,0.127209,,1.8706234,-0.1975826,0.4636828,52.350232,4.925088,3.294677,3.59,239.300003,3.790092,2.5,0,0,0,1,0,0
32.5,-2.1646669999999997,-3.8614178,14.3405446,0.1912335,-0.011377250000000002,-0.5431195,1.743255,-0.339634,0.6148859999999999,,,,,,,,0,0,0,1,0,0
33.0,-1.4178072,-0.3533002000000002,10.3613408,0.20628339999999998,-9.160000000000834e-05,,1.7390162000000005,-0.18673580000000006,0.0015895999999999454,52.350227,4.925033999999999,3.699425,3.86,263.399994,3.790092,2.5,0,0,0,1,0,0
33.5,-2.273301,-1.5123238,9.5859466,0.10708140000000002,,-0.005283600000000005,-0.11510959999999995,0.13871239999999982,0.14563979999999999,,,,,,,,0,0,0,1,0,0
34.0,1.2718450000000001,2.8057044,9.049117,-0.0065359999999999975,-0.08945860000000001,0.14819179999999998,-1.2456022,-1.8420898,1.0496206,52.350235,4.924982,3.860906,3.11,285.0,3.790092,2.5,1,0,0,0,0,0
34.5,-2.6639296000000003,-2.8698918,10.8454688,0.040499199999999985,-0.0343296,-0.1218028,0.18328680000000006,-1.0034174,1.1905109999999997,,,,,,,,1,0,0,0,0,0
35.0,0.12460619999999993,1.6575678,9.2292364,0.011338749999999995,-0.13740249999999998,0.099568,-0.461531,-0.9213864,0.458165,52.350255,4.924939,2.964181,3.24,304.799988,3.790092,2.5,1,0,0,0,0,0
35.5,0.8304889999999999,-2.9336604,14.6847526,-0.015423799999999991,0.0071774,0.1466948,-0.8977219999999999,-1.2717889999999998,1.319264,,,,,,,,1,0,0,0,0,0
36.0,1.4940783999999998,-0.9093326000000004,11.435539,0.017409200000000003,0.0886032,-0.003329200000000005,-0.8977219999999999,-1.2717889999999998,1.319264,52.350279,4.924903,2.6050020000000003,2.98,312.0,3.790092,2.668912,1,0,0,0,0,0
36.5,-1.1063813999999998,-0.4823330000000006,11.3842728,-0.053265800000000016,-0.08796200000000001,0.1612636,-0.8302992,-0.6267037999999999,-0.15777600000000006,,,,,,,,1,0,0,0,0,0
