,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),labelnormal,labelturnright,labelbrake,labelaccelerate,labelstop,labelturnleft
41.5,0.3832702,0.6049653999999999,9.5846306,-0.0423012,-0.1647454,0.1505126,0.9776952,-3.0694792,1.7206152,,,,,,,,1,0,0,0,0,0
42.0,1.2309876,-1.6191633999999997,14.2058292,0.4082598,0.046851999999999984,-0.5217856000000001,1.8055951999999997,-1.407118,3.4284354,52.34678,4.920633,3.622974,3.91,344.600006,3.790092,2.975121,1,0,0,0,0,0
42.5,-0.6032904,2.5428526000000002,4.763751000000001,-0.4372142,-0.11355659999999998,-0.04569160000000001,-1.1930812,-4.590598000000001,2.664910400000001,,,,,,,,1,0,0,0,0,0
43.0,-1.3885550000000002,-0.5402991999999999,10.342975999999998,0.25505939999999994,0.1538726,-0.1077534,-0.5637468000000001,-1.0993740000000003,0.9102856000000003,52.346812,4.920613,3.747764,3.88,342.0,3.790092,2.984206,1,0,0,0,0,0
43.5,0.44482579999999994,3.8154756,5.583531999999999,-0.6406259999999999,0.021929399999999995,-0.15869819999999998,-0.7508319999999999,-5.1764612,2.4079078000000003,,,,,,,,1,0,0,0,0,0
44.0,2.2579272,-2.6081168000000003,13.3370548,0.34265480000000004,0.10097300000000001,-0.018569799999999997,2.1624521999999997,0.6780120000000001,-1.9047804000000004,52.346845,4.920596,3.091001,3.87,341.0,3.790092,2.95545,1,0,0,0,0,0
44.5,-1.2629318,0.10923259999999997,9.822536799999998,-0.2377722,-0.44707919999999995,0.097369,0.2576672000000001,-0.9752024,0.2215898,,,,,,,,1,0,0,0,0,0
45.0,0.3622134,0.43052860000000004,6.0707104,0.01756200000000001,-0.0926654,0.16065279999999998,-0.13455799999999982,-1.6332296,1.2203677999999998,52.346876,4.920578,2.59372,3.48,341.700012,3.790092,3.015863,1,0,0,0,0,0
45.5,-1.423251,-3.2770303999999997,12.0823184,0.4970770000000001,0.16279059999999995,-0.1905846,-0.4995086000000001,-0.91273,2.1835748,,,,,,,,1,0,0,0,0,0
46.0,-0.4651648,-0.1929214,7.1420972,0.008765599999999995,0.1311486,0.1784894,-1.1431082000000001,-0.13966920000000008,-0.1500005999999999,52.346909,4.920562,2.837227,4.11,343.5,3.790092,2.982747,1,0,0,0,0,0
46.5,1.7397611999999998,-1.4697314,13.964154000000002,0.072416,0.2951002,0.007818799999999992,0.5694038000000001,-2.0205428,-0.12356439999999998,,,,,,,,1,0,0,0,0,0
47.0,-1.792284,-0.17001000000000002,7.9347791999999995,-0.0881146,-0.06529959999999999,-0.04556920000000002,-0.9666436,-1.8414696,0.6043223999999998,52.346945,4.920544,2.007617,3.95,343.799988,3.790092,2.887674,1,0,0,0,0,0
47.5,1.2011370000000001,0.2782256000000002,8.749953999999999,0.3003842,0.1091586,-0.0020767999999999967,0.139949,0.1545896,-2.4710696,,,,,,,,1,0,0,0,0,0
48.0,1.1393428,-0.12311079999999994,11.300404,-0.0052838000000000164,-0.05198320000000001,0.0711026,1.0267902,-1.8151264,-0.02403720000000007,52.346981,4.920525,2.063077,4.41,341.299988,3.790092,2.612111,1,0,0,0,0,0
48.5,-0.46181479999999997,-1.7692530000000002,9.9933246,0.311471,0.16657799999999998,-0.08698439999999999,-1.0001917999999999,-1.1493526,-0.3692544000000003,,,,,,,,1,0,0,0,0,0
49.0,2.2707888,1.1865408,8.262297,-0.39989120000000006,0.0998734,0.08625160000000001,0.7094195999999999,-2.6559049999999997,0.6849192000000002,52.347014,4.920504,1.562869,3.59,340.100006,3.790092,2.59124,1,0,0,0,0,0
49.5,-1.3210774,1.0686942,7.313722200000001,0.010353799999999979,-0.027426799999999994,-0.0448364,-0.7230860000000001,-0.42762839999999985,-1.8375890000000001,,,,,,,,1,0,0,0,0,0
50.0,0.5841478,-0.1664207999999998,12.4314316,0.169999,0.1761072,-0.008307600000000004,-0.7325068000000001,-1.7421938000000003,-1.964995,52.347047,4.920482,2.838293,4.31,339.700012,3.790092,2.501633,1,0,0,0,0,0
50.5,0.842513,1.8920648,8.7120878,-0.1493216,-0.016676000000000003,-0.08148699999999999,0.8067462000000003,-1.5406841999999998,1.4910607999999996,,,,,,,,1,0,0,0,0,0
51.0,0.01986019999999993,1.7431712000000001,6.742316,-0.2615954,-0.09877400000000001,0.12559019999999999,0.5534794000000001,-1.1490052,-0.7994994000000001,52.34708,4.920458,3.394051,3.83,340.0,3.790092,2.5,1,0,0,0,0,0
51.5,-0.8786441999999999,-2.6129024000000003,11.064651000000001,0.017439600000000045,0.06872040000000001,0.07049199999999999,-1.530709,-1.7796958,2.736254,,,,,,,,1,0,0,0,0,0
52.0,0.10151559999999997,-2.9478378,12.4941828,0.2125444,-0.1206424,-0.017836999999999992,-0.7691862,0.5804929999999999,-1.0382586000000003,52.347114,4.920437,3.600264,4.23,342.299988,3.790092,2.513901,1,0,0,0,0,0
52.5,-0.05168480000000002,0.24466600000000005,6.8610602,0.17711519999999997,-0.011300599999999994,-0.09651380000000001,0.6276238000000001,-1.0393906000000002,-0.48151059999999984,,,,,,,,1,0,0,0,0,0
53.0,-0.07513479999999992,-0.375374,12.219547,-0.0475544,0.06859799999999998,0.04312580000000001,-0.6668448,-3.2355364,0.34805879999999995,52.347148,4.920417,4.159993,3.96,340.0,3.790092,2.603638,1,0,0,0,0,0
53.5,0.6078963999999999,-0.13453640000000008,9.382018399999998,0.3229856,0.12198640000000001,0.006474799999999998,-0.13026540000000014,-0.3220478,1.9330310000000002,,,,,,,,1,0,0,0,0,0
54.0,2.4008388,0.8450849999999999,11.7926672,-0.0237316,-0.07995999999999999,0.0906496,2.4815802,0.35958919999999994,-0.641132,52.347182,4.920397,4.608333,3.88,340.200012,3.790092,2.500388,1,0,0,0,0,0
54.5,1.2013764000000002,1.4458030000000002,8.0655474,-0.08838960000000004,0.3257646,-0.2545096,-0.8741657999999999,-1.9096198000000002,-1.7524577999999997,,,,,,,,1,0,0,0,0,0
55.0,1.8551552000000004,0.36891339999999995,7.4751182,-0.20771860000000003,0.4235004,-0.04642460000000001,-1.1397426,-2.3714293999999994,-1.9858645999999998,52.347214,4.920377,4.370573,3.55,337.0,3.790092,2.681685,1,0,0,0,0,0
55.5,-1.0481162,0.34259220000000007,6.968258399999999,-0.229709,-0.060535000000000005,-0.10372200000000001,-0.05687359999999995,-1.8643496,-1.7858988,,,,,,,,1,1,0,0,0,0
56.0,1.2635898,0.9464213999999999,8.5677406,-0.20136579999999998,0.025350200000000007,0.08490779999999999,0.04119200000000003,-1.0206028,-1.02041,52.347246,4.92036,5.049564,3.6,339.100006,3.790092,2.744432,0,1,0,0,0,0
56.5,0.19944180000000014,-1.0574482,11.2750404,0.2912214,0.5092634,-0.8215286,1.4741168,-6.762512200000001,5.201858800000001,,,,,,,,0,1,0,0,0,0
