Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
49.473249,0.905442,0.407926,0.106323
49.578036,0.584251,0.300461,0.111769
49.682824,0.931628,0.454779,-0.422912
49.787610,-0.181846,0.092710,0.152212
49.892398,0.593393,-0.052506,-0.063897
49.997184,0.243840,0.209911,-0.104369
50.101972,0.233404,0.474781,0.100200
50.206759,0.483221,0.058902,-0.086228
50.311547,-0.148842,0.237117,-0.291923
50.416333,0.244401,-0.009217,-0.092210
50.521121,-0.373098,-0.286581,0.778563
50.625907,0.133207,0.412062,0.056445
50.730695,0.544243,0.462260,-0.850826
50.835481,0.175559,0.003476,0.215556
50.940269,1.268872,0.304619,0.094715
51.045056,0.138054,-0.076961,0.140006
51.149843,-0.329623,-0.298105,0.260436
51.254630,0.916042,0.079931,0.509236
51.359417,-0.709147,0.034049,-0.321108
51.464204,-0.282428,0.403868,-0.134172
51.568992,0.725648,0.378877,-0.034160
51.673778,1.178503,0.195964,0.074645
51.778566,0.783112,-0.096936,0.575617
51.883352,0.632205,-0.276005,0.023613
51.988140,0.703165,0.153627,0.284555
52.092926,0.843759,0.259908,-0.025617
52.197713,-0.476187,-0.957840,0.320478
52.302500,-0.451077,-0.073383,0.232673
52.407287,0.220496,0.391423,0.251651
52.512074,0.264394,-0.080282,0.061488
52.616861,0.548456,0.024556,0.855838
52.721648,0.436184,0.034554,-0.305483
52.826435,0.560719,0.373774,0.472530
52.931221,-0.828147,-1.122120,0.407534
53.036009,-0.082734,0.789852,-0.469575
53.140795,2.690710,-0.132735,0.322761
53.245583,-0.473215,0.315300,-0.014189
53.350369,0.074088,-0.265803,0.146833
53.455157,-1.675613,-0.804955,0.790249
53.559943,-0.918267,-0.252312,-0.327662
53.664731,1.303262,0.879532,0.128713
53.769517,0.490192,-0.042660,-0.035371
53.874305,-0.247170,0.074366,-0.464362
53.979091,-0.350928,-0.224417,0.804255
54.083878,0.106159,-0.037939,-0.050114
54.188664,-0.626600,0.180380,-0.079600
54.293452,0.872348,-0.066794,0.407185
54.398238,0.696905,0.436441,0.318852
54.503026,0.415355,-0.648290,0.421931
54.607812,0.528776,0.337620,-0.313855
54.712599,0.382106,0.095848,0.432634
54.817386,-0.264757,-0.336025,0.226804
54.922173,0.098657,-0.147815,0.112524
55.026959,0.364352,0.354844,-0.264342
55.131747,-1.104736,-0.166680,-0.059872
55.236533,0.225574,-0.126768,0.441085
55.341321,0.318661,0.369178,-0.397128
55.446107,-0.763961,-0.027334,-0.233631
55.550894,-0.209204,-0.523205,0.140461
55.655680,0.265326,0.545511,0.677901
55.760468,0.143928,0.041088,0.158645
