Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
58.223933,-0.217448,6.605387,7.707581
58.323933,-0.217448,6.605387,7.707581
58.423933,-0.217448,6.605387,7.707581
58.523933,-0.217448,6.605387,7.707581
58.623933,-0.217448,6.605387,7.707581
58.723933,-0.217448,6.605387,7.707581
58.823933,-0.217448,6.605387,7.707581
58.923933,-0.217448,6.605387,7.707581
59.023933,-0.217448,6.605387,7.707581
59.123933,-0.217448,6.605387,7.707581
59.223933,-0.217448,6.605387,7.707581
59.323933,-0.217448,6.605387,7.707581
59.423933,0.035593,6.544669,7.018747
59.523933,1.002593,7.576873,6.593124
59.623933,-0.826720,6.742974,6.858428
59.723933,-2.406282,7.049555,6.362814
59.823933,-1.729113,6.460621,7.083652
59.923933,-0.872782,6.930811,7.240083
60.023933,-0.065504,7.150950,6.926324
60.123933,-0.241376,7.195816,6.837192
60.223933,1.062712,7.351349,6.917949
60.323933,0.764208,7.823334,6.343971
60.423933,0.451047,6.584450,7.115058
60.523933,0.451047,6.584450,7.115058
60.623933,0.451047,6.584450,7.115058
60.723933,0.451047,6.584450,7.115058
60.823933,0.451047,6.584450,7.115058
60.923933,0.451047,6.584450,7.115058
61.023933,0.451047,6.584450,7.115058
61.123933,0.451047,6.584450,7.115058
61.223933,0.451047,6.584450,7.115058
61.323933,0.451047,6.584450,7.115058
61.423933,0.451047,6.584450,7.115058
61.523933,0.451047,6.584450,7.115058
61.623933,-0.177667,7.348059,6.770791
61.723933,-1.105484,6.806683,7.157232
61.823933,-1.255933,6.506384,7.205686
61.923933,-1.097707,7.094420,6.811768
62.023933,-0.514457,7.344769,6.635596
62.123933,-0.982852,7.112965,6.381060
62.223933,-0.853340,7.522137,6.697810
62.323933,-0.028415,6.774081,7.172187
62.423933,-1.165006,6.813861,7.282556
62.523933,-0.145065,7.052247,6.539884
62.623933,-0.145065,7.052247,6.539884
62.723933,-0.145065,7.052247,6.539884
62.823933,-0.145065,7.052247,6.539884
62.923933,-0.145065,7.052247,6.539884
63.023933,-0.145065,7.052247,6.539884
63.123933,-0.145065,7.052247,6.539884
63.223933,-0.145065,7.052247,6.539884
63.323933,-0.145065,7.052247,6.539884
63.423933,-0.145065,7.052247,6.539884
63.523933,-0.145065,7.052247,6.539884
63.623933,-0.145065,7.052247,6.539884
63.723933,0.299103,7.483553,6.698707
63.823933,0.382253,7.629814,6.653244
63.923933,0.721436,6.684051,6.626025
64.023933,-1.135993,7.106982,6.783353
64.123933,-1.974976,6.830013,7.719246
64.223933,0.013460,7.004091,6.370890
64.323933,0.616451,7.855936,6.533004
64.423933,-0.464507,7.128817,7.042376
64.523933,-0.632902,6.084051,7.461120
64.623933,-1.424029,7.789834,6.246463
64.723933,0.124128,6.551250,7.639385
64.823933,-0.884148,7.225726,6.603293
64.923933,-0.884148,7.225726,6.603293
65.023933,-0.884148,7.225726,6.603293
65.123933,-0.884148,7.225726,6.603293
65.223933,-0.884148,7.225726,6.603293
65.323933,-0.884148,7.225726,6.603293
65.423933,-0.884148,7.225726,6.603293
65.523933,-0.884148,7.225726,6.603293
65.623933,-0.884148,7.225726,6.603293
65.723933,-0.884148,7.225726,6.603293
65.823933,-0.884148,7.225726,6.603293
65.923933,0.831207,6.674479,7.413563
66.023933,-1.065703,7.012167,6.590133
66.123933,-0.681356,7.394121,6.954141
66.223933,-0.662214,6.639484,6.847062
66.323933,0.247956,7.356733,7.251150
66.423933,-0.096610,7.214959,6.847062
66.523933,0.353540,7.012167,7.075277
66.623933,-0.390030,7.170990,6.936494
66.723933,-0.292523,7.273882,6.129813
66.823933,-1.013061,7.361220,6.366703
66.923933,-1.545763,6.364609,7.374680
