Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
54.474281,0.056351,0.124918,-0.031306
54.579068,0.004123,-0.007330,-0.259457
54.683854,0.013286,0.042454,-0.114992
54.788642,-0.053602,-0.024281,-0.035887
54.893428,0.036040,-0.063834,-0.144160
54.998216,0.016951,-0.076050,-0.003054
55.103002,-0.029473,-0.040010,0.211964
55.207790,0.015882,-0.054060,-0.003207
55.312576,-0.023365,-0.113770,0.038942
55.417363,-0.044897,0.112090,0.321153
55.522149,-0.039094,0.185239,0.264497
55.626937,-0.018936,0.183865,0.081090
55.731723,0.070400,0.219600,-0.003054
55.836511,0.107815,0.133165,0.033291
55.941297,0.004887,0.093307,-0.243881
56.046084,0.000305,-0.026419,-0.465007
56.150870,-0.058794,-0.161111,-0.373839
56.255658,0.069178,-0.168594,-0.224486
56.360444,0.116825,-0.143702,-0.111021
56.465232,0.085977,-0.319168,-0.305424
56.570018,0.009315,-0.312907,-0.073913
56.674806,-0.145840,-0.119573,0.350932
56.779592,-0.040774,0.156224,0.455234
56.884379,0.019394,0.213186,0.266635
56.989165,0.125224,0.106135,-0.000611
57.093953,0.060168,0.046730,-0.309852
57.198739,-0.032528,-0.100026,-0.186767
57.303526,-0.032222,-0.131485,-0.110105
57.408312,-0.002596,-0.087351,-0.020005
57.513100,-0.032528,-0.044134,0.185545
57.617886,0.054213,0.030390,0.031459
57.722674,0.037109,-0.090711,-0.076356
57.827459,-0.029168,-0.013286,-0.072844
57.932247,-0.003971,-0.081243,-0.034818
58.037033,-0.029779,-0.116672,-0.049784
58.141821,0.004123,0.063375,0.142938
58.246606,0.039858,0.077425,0.198525
58.351394,-0.024587,0.078799,0.092849
58.456180,-0.042759,0.006108,-0.008857
58.560968,0.037720,-0.135150,-0.074371
58.665753,-0.036040,-0.193944,-0.050853
58.770541,-0.011759,-0.020311,0.257472
58.875327,-0.005192,0.089489,0.482417
58.980115,-0.006719,0.249684,0.366661
59.084900,-0.032375,0.234413,0.125529
59.189688,0.006567,0.225555,-0.014966
59.294474,0.003818,0.198525,-0.123544
59.399261,0.126598,0.195777,-0.216240
59.504047,0.049326,-0.222959,-0.660173
