Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m)
253.306984,52.354100,4.920429,5.457148,3.680000,349.600006,3.790092,2.500000
254.306984,52.354132,4.920421,5.375891,3.670000,350.100006,3.790092,2.500000
255.306984,52.354166,4.920414,5.481708,3.850000,352.299988,3.790092,2.500000
256.306984,52.354199,4.920406,5.346802,3.670000,351.100006,3.790092,2.500000
257.306984,52.354233,4.920398,5.210615,3.960000,352.100006,3.790092,2.500000
258.306984,52.354267,4.920389,4.788722,3.800000,351.200012,3.790092,2.500000
259.306984,52.354300,4.920380,4.425543,3.790000,351.700012,3.790092,2.500000
260.306984,52.354333,4.920370,4.264390,3.830000,349.600006,3.790092,2.500000
261.306984,52.354365,4.920357,3.826319,3.740000,348.100006,3.790092,2.500000
262.306984,52.354398,4.920342,3.595887,3.870000,345.500000,3.790092,2.500000
263.306984,52.354431,4.920323,3.487891,4.110000,342.500000,3.790092,2.500000
264.306984,52.354464,4.920302,3.453684,3.680000,339.899994,3.790092,2.500000
265.306984,52.354495,4.920277,3.247294,4.110000,336.100006,3.790092,2.500000
266.306984,52.354526,4.920249,2.909187,3.980000,333.500000,3.790092,2.500000
267.306984,52.354557,4.920220,3.032078,3.990000,331.799988,3.790092,2.500000
268.306984,52.354589,4.920191,3.274538,4.000000,332.799988,3.790092,2.500000
269.306984,52.354621,4.920163,3.223480,3.990000,333.200012,3.790092,2.500000
270.306984,52.354653,4.920137,3.124328,3.990000,334.000000,3.790092,2.500000
271.306984,52.354685,4.920111,3.165985,3.940000,333.600006,3.790092,2.500000
272.306984,52.354717,4.920086,3.036194,3.930000,334.600006,3.790092,2.500000
273.306984,52.354748,4.920060,3.062408,3.930000,332.600006,3.790092,2.500000
274.306984,52.354780,4.920033,2.822569,3.900000,332.500000,3.790092,2.500000
275.306984,52.354810,4.920004,2.584375,3.910000,330.500000,3.790092,2.500000
276.306984,52.354841,4.919974,2.659962,3.980000,330.799988,3.790092,2.500000
277.306984,52.354872,4.919943,2.626908,4.080000,332.100006,3.790092,2.500000
278.306984,52.354904,4.919915,2.592880,4.050000,334.399994,3.790092,2.500000
279.306984,52.354936,4.919888,2.568679,4.070000,335.600006,3.790092,2.500000
280.306984,52.354967,4.919863,2.468367,3.960000,334.899994,3.790092,2.500000
281.306984,52.354998,4.919834,2.417491,4.020000,331.299988,3.790092,2.500000
282.306984,52.355030,4.919805,2.477272,4.180000,331.299988,3.790092,2.500000
283.306984,52.355061,4.919776,2.332341,3.900000,331.600006,3.790092,2.500000
284.306984,52.355092,4.919750,2.227634,3.890000,334.000000,3.790092,2.500000
285.306984,52.355122,4.919726,2.267762,3.800000,333.899994,3.790092,2.500000
286.306984,52.355151,4.919701,2.061613,3.660000,333.600006,3.790092,2.500000
287.306984,52.355180,4.919677,2.122126,3.700000,333.000000,3.790092,2.500000
288.306984,52.355209,4.919652,1.965049,3.730000,333.000000,3.790092,2.500000
289.306984,52.355238,4.919628,1.872669,3.510000,332.799988,3.790092,2.500000
290.306984,52.355266,4.919605,1.667677,3.380000,332.299988,3.790092,2.500000
291.306984,52.355292,4.919582,1.612769,3.380000,332.000000,3.790092,2.500000
292.306984,52.355320,4.919559,1.692385,3.670000,334.500000,3.790092,2.500000
293.306984,52.355349,4.919536,1.518829,3.630000,335.399994,3.790092,2.500000
294.306984,52.355378,4.919513,1.646847,3.740000,335.299988,3.790092,2.500000
295.306984,52.355407,4.919487,1.538598,3.800000,333.000000,3.790092,2.500000
296.306984,52.355437,4.919461,1.412587,3.830000,333.200012,3.790092,2.500000
297.306984,52.355467,4.919433,1.245073,3.850000,333.799988,3.790092,2.500000
298.306984,52.355497,4.919405,1.449017,3.870000,332.600006,3.790092,2.500000
299.306984,52.355527,4.919377,1.665351,3.800000,331.299988,3.790092,2.500000
300.306984,52.355556,4.919348,1.837496,3.880000,330.899994,3.790092,2.500000
301.306984,52.355586,4.919322,2.121764,3.610000,333.500000,3.790092,2.500000
302.306984,52.355616,4.919300,1.704008,3.650000,336.399994,3.790092,2.500000
303.306984,52.355647,4.919280,1.320922,3.580000,336.899994,3.790092,2.500000
304.306984,52.355678,4.919260,1.372651,3.710000,337.700012,3.790092,2.500000
305.306984,52.355709,4.919239,1.261173,3.750000,337.500000,3.790092,2.500000
306.306984,52.355740,4.919219,1.332434,3.650000,338.399994,3.790092,2.500000
307.306984,52.355770,4.919198,1.318853,3.690000,336.299988,3.790092,2.500000
308.306984,52.355799,4.919176,1.461887,3.530000,335.899994,3.790092,2.500000
309.306984,52.355826,4.919156,1.548095,3.070000,335.500000,3.790092,2.500000
